Número de registros;Country;Date;Tmax
1;US;28/05/2016;62,2
1;US;20/10/2016;62,2
1;US;25/02/2016;64,4
1;US;09/09/2016;64,4
1;US;30/10/2016;64,4
1;US;23/10/2016;65
1;US;05/01/2016;112,8
1;US;04/04/2016;129,4
1;US;15/02/2016;135,6
1;US;25/10/2016;137,1
1;US;13/01/2016;183,3
